sample	gene	reporter	pop	flow	date	high	low
4NQO_High_4x_Ub_7__S112_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	4NQO_High_4x_Ub_7__S112_L001_sort_filtered_rmdup	4NQO_Low_4x_Ub_7_S104_L001_sort_filtered_rmdup
4NQO_High_4x_Ub_8_S127_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	4NQO_High_4x_Ub_8_S127_L001_sort_filtered_rmdup	4NQO_Low_4x_Ub_8_S120_L001_sort_filtered_rmdup
4NQO_High_Asn-degron_17_S175_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	4NQO_High_Asn-degron_17_S175_L001_sort_filtered_rmdup	4NQO_Low_Asn-degron_17_S167_L001_sort_filtered_rmdup
4NQO_High_Asn-degron_18_S191_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	4NQO_High_Asn-degron_18_S191_L001_sort_filtered_rmdup	4NQO_Low_Asn-degron_18_S183_L001_sort_filtered_rmdup
4NQO_High_Phe-degron_49_S143_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	4NQO_High_Phe-degron_49_S143_L001_sort_filtered_rmdup	4NQO_Low_Phe-degron_49_S135_L001_sort_filtered_rmdup
4NQO_High_Phe-degron_50_S159_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	4NQO_High_Phe-degron_50_S159_L001_sort_filtered_rmdup	4NQO_Low_Phe-degron_50_S151_L001_sort_filtered_rmdup
4NQO_High_Thr-degron_79_S48_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	4NQO_High_Thr-degron_79_S48_L001_sort_filtered_rmdup	4NQO_Low_Thr-degron_79_S40_L001_sort_filtered_rmdup
4NQO_High_Thr-degron_80_S64_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	4NQO_High_Thr-degron_80_S64_L001_sort_filtered_rmdup	4NQO_Low_Thr-degron_80_S56_L001_sort_filtered_rmdup
4NQO_High_UFD_7_S80_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	4NQO_High_UFD_7_S80_L001_sort_filtered_rmdup	4NQO_Low_UFD_7_S72_L001_sort_filtered_rmdup
4NQO_High_UFD_8_S96_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	4NQO_High_UFD_8_S96_L001_sort_filtered_rmdup	4NQO_Low_UFD_8_S88_L001_sort_filtered_rmdup
4NQO_High_rpn4-degron_65_redo_S236_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg_redo	5	high-low	2023.03.01	4NQO_High_rpn4-degron_65_redo_S236_L001_sort_filtered_rmdup	4NQO_Low_rpn4-degron_65_redo_S228_L001_sort_filtered_rmdup
4NQO_High_rpn4-degron_66_redo_S252_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg_redo	5	high-low	2023.03.01	4NQO_High_rpn4-degron_66_redo_S252_L001_sort_filtered_rmdup	4NQO_Low_rpn4-degron_66_redo_S244_L001_sort_filtered_rmdup
AZC_High_4x_Ub_7_S109_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	AZC_High_4x_Ub_7_S109_L001_sort_filtered_rmdup	AZC_Low_4x_Ub_7_S101_L001_sort_filtered_rmdup
AZC_High_4x_Ub_8_S124_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	AZC_High_4x_Ub_8_S124_L001_sort_filtered_rmdup	AZC_Low_4x_Ub_8_S117_L001_sort_filtered_rmdup
AZC_High_Asn-degron_17_S172_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	AZC_High_Asn-degron_17_S172_L001_sort_filtered_rmdup	AZC_Low_Asn-degron_17_S164_L001_sort_filtered_rmdup
AZC_High_Asn-degron_18_S188_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	AZC_High_Asn-degron_18_S188_L001_sort_filtered_rmdup	AZC_Low_Asn-degron_18_S180_L001_sort_filtered_rmdup
AZC_High_Phe-degron_49_S140_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	AZC_High_Phe-degron_49_S140_L001_sort_filtered_rmdup	AZC_Low_Phe-degron_49_S132_L001_sort_filtered_rmdup
AZC_High_Phe-degron_50_S156_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	AZC_High_Phe-degron_50_S156_L001_sort_filtered_rmdup	AZC_Low_Phe-degron_50_S148_L001_sort_filtered_rmdup
AZC_High_Thr-degron_79_S45_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	AZC_High_Thr-degron_79_S45_L001_sort_filtered_rmdup	AZC_Low_Thr-degron_79_S37_L001_sort_filtered_rmdup
AZC_High_Thr-degron_80_S61_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	AZC_High_Thr-degron_80_S61_L001_sort_filtered_rmdup	AZC_Low_Thr-degron_80_S53_L001_sort_filtered_rmdup
AZC_High_UFD_7_S77_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	AZC_High_UFD_7_S77_L001_sort_filtered_rmdup	AZC_Low_UFD_7_S69_L001_sort_filtered_rmdup
AZC_High_UFD_8_S93_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	AZC_High_UFD_8_S93_L001_sort_filtered_rmdup	AZC_Low_UFD_8_S85_L001_sort_filtered_rmdup
AZC_High_rpn4-degron_65_S13_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg	5	high-low	2023.02.02	AZC_High_rpn4-degron_65_S13_L001_sort_filtered_rmdup	AZC_Low_rpn4-degron_65_S5_L001_sort_filtered_rmdup
AZC_High_rpn4-degron_66_S29_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg	5	high-low	2023.02.02	AZC_High_rpn4-degron_66_S29_L001_sort_filtered_rmdup	AZC_Low_rpn4-degron_66_S21_L001_sort_filtered_rmdup
Bortezemib_High_4x_Ub_7_S108_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	Bortezemib_High_4x_Ub_7_S108_L001_sort_filtered_rmdup	Bortezemib_Low_4x_Ub_7_S100_L001_sort_filtered_rmdup
Bortezemib_High_4x_Ub_8_S123_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	Bortezemib_High_4x_Ub_8_S123_L001_sort_filtered_rmdup	Bortezemib_Low_4x_Ub_8_S116_L001_sort_filtered_rmdup
Bortezemib_High_Asn-degron_17_S171_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	Bortezemib_High_Asn-degron_17_S171_L001_sort_filtered_rmdup	Bortezemib_Low_Asn-degron_17_S163_L001_sort_filtered_rmdup
Bortezemib_High_Asn-degron_18_S187_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	Bortezemib_High_Asn-degron_18_S187_L001_sort_filtered_rmdup	Bortezemib_Low_Asn-degron_18_S179_L001_sort_filtered_rmdup
Bortezemib_High_Phe-degron_49_S139_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	Bortezemib_High_Phe-degron_49_S139_L001_sort_filtered_rmdup	Bortezemib_Low_Phe-degron_49_S131_L001_sort_filtered_rmdup
Bortezemib_High_Phe-degron_50_S155_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	Bortezemib_High_Phe-degron_50_S155_L001_sort_filtered_rmdup	Bortezemib_Low_Phe-degron_50_S147_L001_sort_filtered_rmdup
Bortezemib_High_Thr-degron_79_S44_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	Bortezemib_High_Thr-degron_79_S44_L001_sort_filtered_rmdup	Bortezemib_Low_Thr-degron_79_S36_L001_sort_filtered_rmdup
Bortezemib_High_Thr-degron_80_S60_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	Bortezemib_High_Thr-degron_80_S60_L001_sort_filtered_rmdup	Bortezemib_Low_Thr-degron_80_S52_L001_sort_filtered_rmdup
Bortezemib_High_UFD_7_S76_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	Bortezemib_High_UFD_7_S76_L001_sort_filtered_rmdup	Bortezemib_Low_UFD_7_S68_L001_sort_filtered_rmdup
Bortezemib_High_UFD_8_S92_L001_sort_filtered_rmdup.vcf	YNL268W	UFD	5	high-low	2023.02.10	Bortezemib_High_UFD_8_S92_L001_sort_filtered_rmdup	Bortezemib_Low_UFD_8_S84_L001_sort_filtered_rmdup
Bortezemib_High_rpn4-degron_65_S12_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg	5	high-low	2023.02.02	Bortezemib_High_rpn4-degron_65_S12_L001_sort_filtered_rmdup	Bortezemib_Low_rpn4-degron_65_S4_L001_sort_filtered_rmdup
Bortezemib_High_rpn4-degron_66_S28_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4_deg	5	high-low	2023.02.02	Bortezemib_High_rpn4-degron_66_S28_L001_sort_filtered_rmdup	Bortezemib_Low_rpn4-degron_66_S20_L001_sort_filtered_rmdup
LiAc_High_4x_Ub_7_S111_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	LiAc_High_4x_Ub_7_S111_L001_sort_filtered_rmdup	LiAc_Low_4x_Ub_7_S103_L001_sort_filtered_rmdup
LiAc_High_4x_Ub_8_S126_L001_sort_filtered_rmdup.vcf	YNL268W	4x_Ub	5	high-low	2023.02.15	LiAc_High_4x_Ub_8_S126_L001_sort_filtered_rmdup	LiAc_Low_4x_Ub_8_S119_L001_sort_filtered_rmdup
LiAc_High_Asn-degron_17_S174_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	LiAc_High_Asn-degron_17_S174_L001_sort_filtered_rmdup	LiAc_Low_Asn-degron_17_S166_L001_sort_filtered_rmdup
LiAc_High_Asn-degron_18_S190_L001_sort_filtered_rmdup.vcf	YNL268W	Asn_deg_TFT	5	high-low	2023.03.06	LiAc_High_Asn-degron_18_S190_L001_sort_filtered_rmdup	LiAc_Low_Asn-degron_18_S182_L001_sort_filtered_rmdup
LiAc_High_Phe-degron_49_S142_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	LiAc_High_Phe-degron_49_S142_L001_sort_filtered_rmdup	LiAc_Low_Phe-degron_49_S134_L001_sort_filtered_rmdup
LiAc_High_Phe-degron_50_S158_L001_sort_filtered_rmdup.vcf	YNL268W	Phe_deg_TFT	5	high-low	2023.03.01	LiAc_High_Phe-degron_50_S158_L001_sort_filtered_rmdup	LiAc_Low_Phe-degron_50_S150_L001_sort_filtered_rmdup
LiAc_High_Thr-degron_79_S47_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	LiAc_High_Thr-degron_79_S47_L001_sort_filtered_rmdup	LiAc_Low_Thr-degron_79_S39_L001_sort_filtered_rmdup
LiAc_High_Thr-degron_80_S63_L001_sort_filtered_rmdup.vcf	YNL268W	Thr_deg_TFT	5	high-low	2023.02.08	LiAc_High_Thr-degron_80_S63_L001_sort_filtered_rmdup	LiAc_Low_Thr-degron_80_S55_L001_sort_filtered_rmdup
