replicate_one	replicate_two	reporter	rep_one	rep_two	environment
LiAc_High_Phe-degron_49_S142_L001_sort_filtered_rmdup_LiAc_Low_Phe-degron_49_S134_L001_sort_filtered_rmdup	LiAc_High_Phe-degron_50_S158_L001_sort_filtered_rmdup_LiAc_Low_Phe-degron_50_S150_L001_sort_filtered_rmdup	Phe_N-end	49	50	LiAc
LiAc_High_rpn4-degron_65_S15_L001_sort_filtered_rmdup_LiAc_Low_rpn4-degron_65_S7_L001_sort_filtered_rmdup	LiAc_High_rpn4-degron_66_S31_L001_sort_filtered_rmdup_LiAc_Low_rpn4-degron_66_S23_L001_sort_filtered_rmdup	rpn4_degron	65	66	LiAc
LiAc_High_Thr-degron_79_S47_L001_sort_filtered_rmdup_LiAc_Low_Thr-degron_79_S39_L001_sort_filtered_rmdup	LiAc_High_Thr-degron_80_S63_L001_sort_filtered_rmdup_LiAc_Low_Thr-degron_80_S55_L001_sort_filtered_rmdup	Thr_N-end	79	80	LiAc
LiAc_High_UFD_7_S79_L001_sort_filtered_rmdup_LiAc_Low_UFD_7_S71_L001_sort_filtered_rmdup	LiAc_High_UFD_8_S95_L001_sort_filtered_rmdup_LiAc_Low_UFD_8_S87_L001_sort_filtered_rmdup	UFD	7	8	LiAc
Low_glucose_High_4x_Ub_7_S106_L001_sort_filtered_rmdup_Low_glucose_Low_4x_Ub_7_S98_L001_sort_filtered_rmdup	Low_glucose_High_4x_Ub_8_S122_L001_sort_filtered_rmdup_Low_glucose_Low_4x_Ub_8_S114_L001_sort_filtered_rmdup	4x_Ub	7	8	Low_Glucose
Low_glucose_High_Asn-degron_17_S169_L001_sort_filtered_rmdup_Low_glucose_Low_Asn-degron_17_S161_L001_sort_filtered_rmdup	Low_glucose_High_Asn-degron_18_S185_L001_sort_filtered_rmdup_Low_glucose_Low_Asn-degron_18_S177_L001_sort_filtered_rmdup	Asn_N-end	17	18	Low_Glucose
Low_glucose_High_Phe-degron_49_S137_L001_sort_filtered_rmdup_Low_glucose_Low_Phe-degron_49_S129_L001_sort_filtered_rmdup	Low_glucose_High_Phe-degron_50_S153_L001_sort_filtered_rmdup_Low_glucose_Low_Phe-degron_50_S145_L001_sort_filtered_rmdup	Phe_N-end	49	50	Low_Glucose
Low_glucose_High_rpn4-degron_65_S10_L001_sort_filtered_rmdup_Low_glucose_Low_rpn4-degron_65_S2_L001_sort_filtered_rmdup	Low_glucose_High_rpn4-degron_66_S26_L001_sort_filtered_rmdup_Low_glucose_Low_rpn4-degron_66_S18_L001_sort_filtered_rmdup	rpn4_degron	65	66	Low_Glucose
Low_glucose_High_Thr-degron_79_S42_L001_sort_filtered_rmdup_Low_glucose_Low_Thr-degron_79_S34_L001_sort_filtered_rmdup	Low_glucose_High_Thr-degron_80_S58_L001_sort_filtered_rmdup_Low_glucose_Low_Thr-degron_80_S50_L001_sort_filtered_rmdup	Thr_N-end	79	80	Low_Glucose
Low_glucose_High_UFD_7_S74_L001_sort_filtered_rmdup_Low_glucose_Low_UFD_7_S66_L001_sort_filtered_rmdup	Low_glucose_High_UFD_8_S90_L001_sort_filtered_rmdup_Low_glucose_Low_UFD_8_S82_L001_sort_filtered_rmdup	UFD	7	8	Low_Glucose
Low_nitrogen_High_Asn-degron_17_S170_L001_sort_filtered_rmdup_Low_nitrogen_Low_Asn-degron_17_S162_L001_sort_filtered_rmdup	Low_nitrogen_High_Asn-degron_18_S186_L001_sort_filtered_rmdup_Low_nitrogen_Low_Asn-degron_18_S178_L001_sort_filtered_rmdup	Asn_N-end	17	18	Low_Nitrogen
Low_nitrogen_High_Phe-degron_49_S138_L001_sort_filtered_rmdup_Low_nitrogen_Low_Phe-degron_49_S130_L001_sort_filtered_rmdup	Low_nitrogen_High_Phe-degron_50_S154_L001_sort_filtered_rmdup_Low_nitrogen_Low_Phe-degron_50_S146_L001_sort_filtered_rmdup	Phe_N-end	49	50	Low_Nitrogen
Low_nitrogen_High_rpn4-degron_65_S11_L001_sort_filtered_rmdup_Low_nitrogen_Low_rpn4-degron_65_S3_L001_sort_filtered_rmdup	Low_nitrogen_High_rpn4-degron_66_S27_L001_sort_filtered_rmdup_Low_nitrogen_Low_rpn4-degron_66_S19_L001_sort_filtered_rmdup	rpn4_degron	65	66	Low_Nitrogen
Low_nitrogen_High_Thr-degron_79_S43_L001_sort_filtered_rmdup_Low_nitrogen_Low_Thr-degron_79_S35_L001_sort_filtered_rmdup	Low_nitrogen_High_Thr-degron_80_S59_L001_sort_filtered_rmdup_Low_nitrogen_Low_Thr-degron_80_S51_L001_sort_filtered_rmdup	Thr_N-end	79	80	Low_Nitrogen
Low_nitrogen_High_UFD_7_S75_L001_sort_filtered_rmdup_Low_nitrogen_Low_UFD_7_S67_L001_sort_filtered_rmdup	Low_nitrogen_High_UFD_8_S91_L001_sort_filtered_rmdup_Low_nitrogen_Low_UFD_8_S83_L001_sort_filtered_rmdup	UFD	7	8	Low_Nitrogen
SC_-His_-Lys_High_Asn-degron_17_S168_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Asn-degron_17_S160_L001_sort_filtered_rmdup	SC_-His_-Lys_High_Asn-degron_18_S184_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Asn-degron_18_S176_L001_sort_filtered_rmdup	Asn_N-end	17	18	SC
SC_-His_-Lys_High_4x_Ub_7_S105_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_4x_Ub_7_S97_L001_sort_filtered_rmdup	SC_-His_-Lys_High_4x_Ub_8_S121_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_4x_Ub_8_S113_L001_sort_filtered_rmdup	4x_Ub	7	8	SC
SC_-His_-Lys_High_Phe-degron_49_S136_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Phe-degron_49_S128_L001_sort_filtered_rmdup	SC_-His_-Lys_High_Phe-degron_50_S152_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Phe-degron_50_S144_L001_sort_filtered_rmdup	Phe_N-end	49	50	SC
SC_-His_-Lys_High_rpn4-degron_65_S9_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_rpn4-degron_65_S1_L001_sort_filtered_rmdup	SC_-His_-Lys_High_rpn4-degron_66_S25_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_rpn4-degron_66_S17_L001_sort_filtered_rmdup	rpn4_degron	65	66	SC
SC_-His_-Lys_High_Thr-degron_79_S41_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Thr-degron_79_S33_L001_sort_filtered_rmdup	SC_-His_-Lys_High_Thr-degron_80_S57_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_Thr-degron_80_S49_L001_sort_filtered_rmdup	Thr_N-end	79	80	SC
SC_-His_-Lys_High_UFD_7_S73_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_UFD_7_S65_L001_sort_filtered_rmdup	SC_-His_-Lys_High_UFD_8_S89_L001_sort_filtered_rmdup_SC_-His_-Lys_Low_UFD_8_S81_L001_sort_filtered_rmdup	UFD	7	8	SC
YNB_High_4x_Ub_7_S110_L001_sort_filtered_rmdup_YNB_Low_4x_Ub_7_S102_L001_sort_filtered_rmdup	YNB_High_4x_Ub_8_S125_L001_sort_filtered_rmdup_YNB_Low_4x_Ub_8_S118_L001_sort_filtered_rmdup	4x_Ub	7	8	YNB
YNB_High_Asn-degron_17_S173_L001_sort_filtered_rmdup_YNB_Low_Asn-degron_17_S165_L001_sort_filtered_rmdup	YNB_High_Asn-degron_18_S189_L001_sort_filtered_rmdup_YNB_Low_Asn-degron_18_S181_L001_sort_filtered_rmdup	Asn_N-end	17	18	YNB
YNB_High_Phe-degron_49_S141_L001_sort_filtered_rmdup_YNB_Low_Phe-degron_49_S133_L001_sort_filtered_rmdup	YNB_High_Phe-degron_50_S157_L001_sort_filtered_rmdup_YNB_Low_Phe-degron_50_S149_L001_sort_filtered_rmdup	Phe_N-end	49	50	YNB
YNB_High_rpn4-degron_65_S14_L001_sort_filtered_rmdup_YNB_Low_rpn4-degron_65_S6_L001_sort_filtered_rmdup	YNB_High_rpn4-degron_66_S30_L001_sort_filtered_rmdup_YNB_Low_rpn4-degron_66_S22_L001_sort_filtered_rmdup	rpn4_degron	65	66	YNB
YNB_High_Thr-degron_79_S46_L001_sort_filtered_rmdup_YNB_Low_Thr-degron_79_S38_L001_sort_filtered_rmdup	YNB_High_Thr-degron_80_S62_L001_sort_filtered_rmdup_YNB_Low_Thr-degron_80_S54_L001_sort_filtered_rmdup	Thr_N-end	79	80	YNB
YNB_High_UFD_7_S78_L001_sort_filtered_rmdup_YNB_Low_UFD_7_S70_L001_sort_filtered_rmdup	YNB_High_UFD_8_S94_L001_sort_filtered_rmdup_YNB_Low_UFD_8_S86_L001_sort_filtered_rmdup	UFD	7	8	YNB
